"","LIPPOS16JULY_04-D21_M26","LIPPOS16JULY_10-D21_M3","LIPPOS16JULY_17-D21_M10","LIPPOS16JULY_18-D21_M6","LIPPOS16JULY_22-D21_M5","LIPPOS16JULY_23-D21_M7","LIPPOS16JULY_24-D21_M21","LIPPOS16JULY_34-D21_M15","LIPPOS16JULY_36-D21_M24","LIPPOS16JULY_44-D21_M1","LIPPOS16JULY_45-D21_M2","LIPPOS16JULY_46-D21_M23","LIPPOS16JULY_48-D21_M8","LIPPOS16JULY_50-D21_M19","LIPPOS16JULY_51-D21_M22","LIPPOS16JULY_53-D21_M27","LIPPOS16JULY_55-D21_M20","LIPPOS16JULY_65-D21_M12","LIPPOS16JULY_69-D21_M18","LIPPOS16JULY_79-D21_M11","LIPPOS16JULY_81-D21_M13","LIPPOS16JULY_84-D21_M4","LIPPOS16JULY_88-D21_M25","LIPPOS16JULY_94-D21_M16","LIPPOS16JULY_08-D35_M4","LIPPOS16JULY_11-D35_M6","LIPPOS16JULY_14-D35_M2","LIPPOS16JULY_16-D35_M16","LIPPOS16JULY_19-D35_M12","LIPPOS16JULY_20-D35_M18","LIPPOS16JULY_25-D35_M1","LIPPOS16JULY_35-D35_M19","LIPPOS16JULY_37-D35_M23","LIPPOS16JULY_42-D35_M13","LIPPOS16JULY_56-D35_M22","LIPPOS16JULY_57-D35_M10","LIPPOS16JULY_58-D35_M11","LIPPOS16JULY_59-D35_M20","LIPPOS16JULY_60-D35_M3","LIPPOS16JULY_62-D35_M24","LIPPOS16JULY_67-D35_M21","LIPPOS16JULY_68-D35_M27","LIPPOS16JULY_73-D35_M26","LIPPOS16JULY_74-D35_M5","LIPPOS16JULY_83-D35_M15","LIPPOS16JULY_86-D35_M7","LIPPOS16JULY_87-D35_M25","LIPPOS16JULY_92-D35_M8","LIPPOS16JULY_03-D7_M7","LIPPOS16JULY_05-D7_M27","LIPPOS16JULY_06-D7_M23","LIPPOS16JULY_09-D7_M8","LIPPOS16JULY_12-D7_M18","LIPPOS16JULY_13-D7_M25","LIPPOS16JULY_15-D7_M16","LIPPOS16JULY_21-D7_M10","LIPPOS16JULY_26-D7_M19","LIPPOS16JULY_28-D7_M12","LIPPOS16JULY_39-D7_M21","LIPPOS16JULY_41-D7_M20","LIPPOS16JULY_43-D7_M6","LIPPOS16JULY_47-D7_M13","LIPPOS16JULY_52-D7_M11","LIPPOS16JULY_54-D7_M3","LIPPOS16JULY_61-D7_M2","LIPPOS16JULY_64-D7_M26","LIPPOS16JULY_70-D7_M24","LIPPOS16JULY_71-D7_M15","LIPPOS16JULY_75-D7_M22","LIPPOS16JULY_82-M1_D7","LIPPOS16JULY_85-D7_M4","LIPPOS16JULY_89-D7_M5","LIPPOS16JULY_02-M21","LIPPOS16JULY_07-M3","LIPPOS16JULY_27-M11","LIPPOS16JULY_29-M20","LIPPOS16JULY_30-M4","LIPPOS16JULY_31-M22","LIPPOS16JULY_32-M5","LIPPOS16JULY_33-M13","LIPPOS16JULY_38-M19","LIPPOS16JULY_40-M1","LIPPOS16JULY_49-M27","LIPPOS16JULY_63-M16","LIPPOS16JULY_66-M23","LIPPOS16JULY_72-M26","LIPPOS16JULY_76-M10","LIPPOS16JULY_77-M8","LIPPOS16JULY_78-M2","LIPPOS16JULY_80-M12","LIPPOS16JULY_90-M24","LIPPOS16JULY_91-M7","LIPPOS16JULY_93-M6","LIPPOS16JULY_95-M18"
"PE 38:5; PE 18:1-20:4; [M+H]+","   2529","   2775","   2123","  37456","    477","   3253","   1417","    549","   3213","   1529","    754","    329","    706","   1629","    491","    411","   2696","   3123","    665","   1128","   1465","   2272","    618","    258","   2222","   4357","    697","   3395","   2125","   2016","   1683","   2482","    726","    564","   3998","    723","   7691","   1863","    599","   1126","    525","   3867","    184","   3576","   5565","    197","    865","   2103","    643","   1945","   2906","   1350","    442","   2231","   2695","   3696","   8812","   5159","   4421","   4695","    846","    650","    693","   1027","   1334","    331","   2319","   5325","    179","   1542","    461","   1790","  67647","   6665","   8471","1062790","   8996","  86275","  12751","  12469","  68704","  51090","   4356","  17469","  39225","  12048","  19455"," 133065","1928017","  14461","  15995","   8449","   6652","  25003"
"PE 38:5e; [M+H]+","   860","   660","  4478","   742","  6842","  5377","  2213","  4887","  2223","  1109","  3779","  1409","   746","   526","  1221","  1132","   401","   275","   937","   768","   460","   811","    41","   592","  1372","  3834","  6212","  3009","   990","  3951","   354","  8562","   582","   815","  1305","   969","   112","  1533","   487","  4664","    60","   493","  8133","  1631","   856","   206","  2095","  1661","  1790","   839","  2971","  2764","  1223","  6861","  2658","  2981","  1488","  1613","   956","   988","  1445","  3876","  1188","   698","  2977","  1020","   366","    73","    52","   801","   890","  6016","283303","242389","392944"," 70421","398275","202143","280867","141479","319783","289998"," 92818","234530","234270","190328","212171","361781","186279","183894","215535","204537","338590","   413"
"PE 38:5p; PE 16:0p/22:5; [M+H]+","    764","   7863","   9405","    143","    105","   8106","   6235","    234","   8841","   6633","    421","    193","    210","   7901","   5186","    475","     76","   6527","   6041","   9519","  11258","   5756","   6812","   8962","    223","     65","    501","    583","   8386","     72","    642","    144","  10396","  11590","   8779","    182","  22653","    775","   2951","    730","   8349","   7656","  31123","  11216","  10334","    330","    780","  14791","  14433","  20873","    287","     53","  12330","  16494","   1196","  13357","    580","  13970","  12935","  19711","    730","    540","    588","    100","   9462","   8405","  15247","   9475","    143","  12762","  11621","    209"," 603209"," 426718","2327654"," 291172","1252726"," 716913","1546061"," 772816","1159351"," 632149"," 632102"," 904574"," 485234","1018495","1511193","1208253"," 861939"," 690539","1067212"," 854857","1767583","   9031"
"PE 38:5p; PE 18:1p/20:4; [M+H]+","  14740","  15988","   9308","     70","  18189","   7993","   9420","   3481","     76","  12003","   1307","    140","    207","   8465","  47460","  10652","   3282","  16240","   7928","  21079","  18650","     75","   9308","  14039","   6757","   3533","  12674","   6387","   7949","    170","    234","   7079","  12738","  12971","  15885","  10690","  27859","  14042","   7848","   7262","   6790","  11952","   9280","  11174","   8838","  12396","  12449","   5067","   2729","  23078","  12548","  24059","    150","  18917","  18751","  14564","  17723","   5783","  18726","  22033","  26835","  15259","  14365","  11684","  15430","  13585","  10725","  14096","   2178","   3639","  20893","  38914","  83596","1839004","3716437"," 985770","1121799","1405775"," 162231","2444136"," 165456"," 128011"," 693631","2354127","  61223"," 123088"," 183284"," 176618","  98435","  88324","2305097"," 103354"," 134717"," 150300"
"PE 38:6; PE 16:0-22:6; [M+H]+","  35500","  55887","  29661","  32468","  26144","  22698","  23011","  64165","  59545","    988","  48598","  40045","  18452","  27373","  31425","   2065","  46488","  21923","  65747","  31156","  27054","  35916","  41732","  97582","  89469","  50830","  83438","  51557","    902","  83445","  35984","  58587","  14291","  33279","  80942","    201","  61764","  69085","  73525","  44388","  28604","  20520","  25884","  69742","  18900","  33656","  30145","  37137","  19321","  32701","  60591","  28724","  28911","  74344","  42432","  34069","  93486","  24531","  29369","  40478","  34387","  34585","    166","    969","  36985","  50263","  25086","  95611","    115","  24719","  34595","  31987"," 460561"," 420179"," 914594"," 201722"," 624837"," 584538"," 865006"," 536028"," 657046"," 564330"," 478343"," 573925"," 340828"," 589253","1122261"," 814005"," 727924"," 393274"," 680305"," 541212","1218551"," 120956"
"PE 38:6; PE 18:2-20:4; [M+H]+","  3033","    80","  3078","   913","  1593","  2813","  6132","  1444","  2602","    50","  2045","  2626","   118","  1081","  4290","   144","   222","  2872","  1340","   710","  1399","   842","  2419","  2560","  4346","  2439","  2452","    91","   100","  5399","    70","  2878","  5268","  2360","  4455","  1349","  4320","  2780","  1057","  6872","  3073","  2440","  9874","  3484","  2344","  1599","   354","  3339","  6601"," 38481","  1878","  9037","  1314","   174","  6029","  2591","  6829","  1652","  4268","  3575","  4111","  2247","  1654","  2501","  2874","  4374","  7455","   224","   520","  4399","  1738","   303"," 71654"," 62825","220184"," 52364","104794","158308","172077","143000","105971"," 91913","102981"," 84332","117542","170538","173409","184938","108905"," 58201"," 89054"," 91234","171856"," 91473"
"PE 38:6e; [M+H]+","  4207","  7504"," 19244","  3955"," 13814"," 10789","  7084","  7887"," 11519","  4390","  9165"," 14949","  6638","  6916"," 46489","   289","  7010"," 10980","  3591","  4498","   867","  9413","  3107"," 11903","  7712"," 11926","  9353","  9544","  5537"," 11880"," 11925"," 11236"," 11228","  4069","   139","  3815","  5584","  6844","  4385","  8878","  3944","  2584","  4033","   487","  7200","  5054","  1450"," 12434"," 25058"," 16852"," 17379","  9412"," 12623"," 20192"," 15490"," 24164"," 12330"," 15521"," 12020"," 10026","  6501"," 13949","  5073","  2545"," 11201","  5842","  7992","  7807","   937","  6666","  2251"," 11613","156252"," 83384","206637"," 32325","110468"," 85276","135655"," 68299","277559","220934"," 51515","107593","159971","261893","313084","305984","209634","166620","105186"," 82673","141090","612980"
"PE 38:6p; PE 16:0p/22:6; [M+H]+","  36258","  40169","  66848","  23111","  40409","  39590","  21947","  32624","  34968","    612","  30955","  52982","  20864","  29934","    118","  24126","  26346","  33236","  22916","  50625","  48010","  30066","  37731","  45990","  28918","  47837","  37427","  48137","  29650","  64411","  38185","  50378","  41349","   1056","    421","    459","  72911","  46423","  24850","  50624","  26445","  37213","  55593","  43118","  33426","  30482","  45933","  58627","  60899","  65157","  68030","  37764","  48966","  99882","  62454","  59409","  56852","  67623","  49434","    808","  80547","  44161","  50378","    381","  43026","  52865","  44311","    541","     57","  36664","  48895","  62752","1392004","1582437","3279483"," 679092","1860427","1939504","2554763","1633512","  38538","1860714","1431192","1679775","1141921","1883988","  30595","2712996","1914548","1290008","1877324","1533142","3447125","  26727"
"PE 38:6p; PE 18:2p/20:4; [M+H]+","   104","  2221","  1099","     1","   776","   541","   738","  2000","   731","    60","  1857","  1585","  1038","  2962","  1667","   336","  1304","  1805","  2469","   105","  1133","  2830","  1929","   605","  2209","   961","  1198","  3925","   297","  2435","   618","   827","  4575","    79","  1333","    34","  5059","   374","   230","  2892","  1790","  3560","  1279","   339","  2396","   158","   462","  3740","   803","  5266","  2358","  3553","   802","  5852","  1519","  3181","  1946","   518","  2881","  2290","  4701","  1013","  5798","   598","  1216","  1672","  4409","  3213","    92","  1481","  2587","  4568","157810","181530"," 25283","129590","242680","309716","448873","257650","310305","342373","176962","249415","180909","278727","284088","285241","264532","146474","278931","194315","325573","278284"
"PE 38:8e; [M+H]+","    95","  3631","   107","   282","  4007","   132","  3054","  2552","   636","  2447","   115","  3950","  1872","  1930","  2901","   371","  2630","  2860","  1693","  3074","  2913","  2380","  3635","  3066","   381","  3514","   336","   155","  3107","    86","   527","  3806","  4561","  2643","    40","    53","   276","  3308","  2951","  6453","  2887","  2723","  8599","  3463","  3152","  2236","  4937","  6720","   226","  8340","   233","   165","  4431","  4951","   373","    75","   260","   383","  4560","   113","  5179","   774","   115","    59","  3700","  3450","  5777","    58","   108","  4392","  4286","  9078","159065","152171","190154","137406","122060","172000","165904","150506","  5160","126629","  4043","122200","190477","200459","128239","   484","127368","152180","162720","107867","158814","  7760"
"PE 40:3p; PE 20:0p/20:3; [M+H]+"," 52446"," 40626"," 58312"," 25217"," 45988"," 24363"," 23813"," 40421"," 47192"," 37499"," 35826"," 50691"," 21073"," 43146"," 28003"," 23094"," 25035"," 26327"," 28182"," 47139"," 41135"," 37388"," 32400"," 48479"," 32118"," 40349"," 51475"," 78861"," 39145"," 65074"," 43209"," 41785"," 40464"," 32967"," 41116"," 27394"," 61924"," 38016"," 26336"," 30129"," 24188"," 46505"," 41318"," 53123"," 35664"," 36912"," 43683"," 35379"," 71456"," 65527"," 61527"," 30769"," 49311"," 66567"," 79356"," 34759"," 34588"," 43094"," 45253"," 67190","107268"," 52449"," 48954"," 23637"," 55489"," 38329"," 29409"," 44161","  6066"," 40726"," 71833"," 76851","146962","128354","313409"," 40489","262378"," 19877","148871"," 66903","235127"," 53659"," 34100","147529","116539","204292","144652"," 36423"," 31810","148974","161903","133082","179469","   130"
"PE 40:4; PE 18:0-22:4; [M+H]+","   1884","   4642","   1791","   1703","   1240","   1809","   1360","   2552","   3724","   1073","    844","   1096","   2178","   2136","   1870","   3780","   2918","   2122","   1172","   1786","   1788","   2712","    656","   1485","   5244","   4210","   3147","   8089","   2102","   1380","   3132","   4231","   4463","   2658","   2937","   2284","   6660","   2696","   1125","   9301","   3632","   1529","  12621","   4157","   3409","   2767","   3075","   6214","   1762","   9324","   1568","   9314","   1066","   4797","   2880","   8748","   1609","   3556","   3543","  10311","   2348","   2833","   1239","   1356","   1293","   3322","   6567","   2447","    559","   5512","   3271","   9130"," 859238","1011922","1417967"," 546605","1430536"," 681524","1356494"," 951088","1634912","1214382"," 908452","1054792"," 593466","1062932"," 866086"," 854783"," 908814"," 799956","1024837"," 756568","1322311","  18321"
"PE 40:4p; PE 16:0p/24:4; [M+H]+","  11020","  11430","  19948","  11514","  33977","  10863","   6418","  16862","  11755","   5951","   9685","  11476","   7019","   8112","   8553","   6762","   9345","  11506","   8497","  15435","  12387","   6664","   7775","  11664","  10591","  23050","  19665","  15151","  11865","  23252","  10444","  14389","  13523","   8815","  13857","  11590","  20572","  18500","   5833","  24561","  10263","   9313","  24481","  13527","  11460","  10169","  10623","  14549","  23004","  25836","  22325","  21561","  21537","  44571","  29374","  16427","  24334","  28056","  14777","  21326","  33974","  18439","   9915","   8153","  11658","   9224","  18773","   8116","   2473","  10613","  12775","  21056"," 639698"," 699110","1404844"," 431653","1102105"," 433350"," 772390"," 703399"," 988566"," 624764"," 636783"," 773516"," 488497"," 756270"," 633462"," 633845"," 494775"," 662317"," 909613"," 662476"," 797733","  37674"
"PE 40:4p; PE 18:1p/22:3; [M+H]+","  1393","  6316"," 10538","  4255","  8429","  4394","  5115","  6339","  7190","  4274","  4857","  4956","  4725","  5955","  8027","  6112","  4325","  6880","  5167"," 11411","  5998","  5561","  3933"," 10643"," 10017","  8257","  6541","  5102","  4365"," 11195","  6875","  8335","  9138","  4691","  7723","  7151"," 11587","  8261","  5661","  5097","  3891","  6752","  9857","  4333","  6398","  5422","  7063","  6276","  9849"," 18882"," 10357","  5909"," 11762"," 12733"," 16384","  5955","  8968","  9949","  9525"," 11428"," 17103","  6058","  9825"," 10724","  9946","  7768","  7304","  9070","  2590","  7264","  9136","  5518","132075","145069","215177"," 84465","179824"," 90534","200322","129051","179124","192154"," 70356","173530"," 92163","195039","142386","142510","139430","122533","162115","111418","158349","   638"
"PE 40:5; PE 18:0-22:5; [M+H]+","  10313","   8193","   6600","   6529","   7224","   7024","   5077","  10686","   8051","   3932","   7724","  10646","   4963","   6324","   9080","   5078","   8756","   7527","  11705","  10455","   8497","   7860","   7923","  12204","  19467","  12187","  12484","  18610","   5689","  26473","   5251","  14062","   7406","   8304","  10612","   7956","  24808","  17803","  10586","  14718","   6705","   4233","  14728","  15795","   5142","   9757","   7844","  10152","   5748","   8951","  10635","  14660","   7209","  14497","  12430","   9449","  16601","   7678","   9965","  17720","   6801","  11021","   5704","   5462","   5568","   8571","   8081","  12833","   1379","   8207","   7892","  18849"," 777570","1048837","1928484"," 415690","1758992"," 549077","1436448","1110115","1706821"," 848664"," 767256","1295673"," 489809"," 833779","1418899"," 890631"," 903060"," 800937"," 953253"," 962728","2257615","   4340"
"PE 40:5p; PE 18:1p/22:4; [M+H]+"," 53232"," 33631"," 81217"," 22786"," 78828"," 39204"," 29208"," 39690"," 51746"," 32560"," 42265"," 53797"," 31196"," 38476"," 30489"," 39207"," 28842"," 50581"," 31801"," 67257"," 50948"," 43637"," 32782"," 63671"," 36465"," 55905"," 44946"," 49880"," 34349"," 64147"," 66230"," 55023"," 64338"," 53408"," 43471"," 39617"," 76656"," 50345"," 30925"," 41613"," 24380"," 53897"," 55744"," 47058"," 48078"," 36882"," 58826"," 44654","112965"," 92215"," 84563"," 51658"," 84496","100654","106372"," 79103"," 59122"," 77921"," 74371","120329","107787"," 64387"," 55829"," 48227"," 65487"," 44516"," 41665"," 60212","  9629"," 44649"," 97697","103395","478028","396869","923351","243201","651229","536613","794996","486662","615407","599606","263214","581330","393932","673467","551108","554752","490712","416176","492344","442489","665504","  1615"
"PE 40:6; PE 18:0-22:6; [M+H]+","    208","    190","    291","   2215","   1306","    350","   3439","  29144","   1056","   9310","    192","    633","    247","  11302","   1404","     67","    270","  11077","   1068","   1294","    508","  21404","  14436","  28544","  46839","    704","    119","    228","    610","  46035","    304","  25325","   8093","  16131","    833","     97","  44168","    362","   1480","    449","  10158","    688","    650","   1407","   2560","    278","    580","  15315","  14865","  14713","  24321","    752","  21883","    139","  36497","    400","  37664","  14772","  17886","  33584","    528","    124","    269","    735","  15756","   1708","  13889","  39829","    425","  17277","   2455","  21656","1222792","1413888","1900568"," 543913","2144322","1074487","1639062","1228216","2176193","1726017","1311485","1590254","   6898","1509704","1724700","1522120","1457532","1108012","1677725","1346490","2822277","  72618"
"PE 40:6; PE 18:1-22:5; [M+H]+","  8397","  9271","   240","   417","  5612","   355","   327","  9493"," 12806","   983","  9121","  1308","  1647","  1729","   499","   997","    79","  5222","  8407","  7630","  3438","   882","  9150"," 12131"," 20335","   697"," 13109"," 11625","   456"," 19562","  2472","   687","  8094","  1099"," 11173","   561"," 21279"," 18859","  8992"," 19101","  7606","  3896"," 17530"," 13162","  5530","  7290","  4066","  9464"," 12932"," 48720","   204","    89","  7970","  1162"," 14946","  6917"," 19062","  6223","  5935","  1279","  8503","    47","   511","   462","  6870"," 12947"," 13520","  7593","   197","  9529","  7830","   528","  2783","149006","509189","  7309","383782","300163","495242","252559","240712","282224","205916","135410","  2509","306965","547309","320098","360908","154022"," 85596","221565","611349"," 16062"
"PE 40:6p; PE 18:0p/22:6; [M+H]+"," 34171"," 34117"," 68340"," 23804"," 87895"," 41348"," 21888"," 32281"," 32344"," 32044"," 38387"," 51218"," 29718"," 34434"," 31760"," 37175"," 27047"," 36666"," 27514"," 62193"," 37983"," 41506"," 38904"," 57611"," 29143"," 60444"," 58869"," 56895"," 30547"," 61331"," 60185"," 60229"," 41359"," 33423"," 44790"," 28675"," 69404"," 39902"," 22577"," 47197"," 23533"," 39616"," 60670"," 42446"," 39819"," 33367"," 56305"," 53593"," 66605"," 77852"," 57640"," 42775"," 70233","114111"," 85647"," 72366"," 63642"," 72792"," 49855","102173"," 67708"," 68007"," 38516"," 32747"," 46633"," 40179"," 31211"," 40694","  9106"," 33698"," 80455"," 71814","371472","437417","860430","287987","911192","358226","447967","372065","541325","380284","371728","531603","169755","454187","498660","436680","393653","436636","752405","429935","625158"," 95269"
"PE 40:6p; PE 18:1p/22:5; [M+H]+","   434","  1841","   493","   599","  3192","   817","  1993","  1670","   761","   233","   430","   408","    86","   229","   350","    30","  2843","  1665","   664","   112","  1890","   421","   381","  4015","  1712","  1389","   933","   739","   136","   746","   466","  4108","   369","   762","   369","    24","   427","   334","   240","   803","   306","   816","  1870","   534","  2669","   682","   158","  1437","  3184","  3088","   771","   439","  1862","  3597","   593","   769","  2343","   624","   454","   198","   132","   216","   198","   110","   981","   505","  1108","   217","   337","  2266","  1460","  9462","241729","299869","597600","142810","420131","302797","626908","255342"," 11688","440910","172091","432575","245515","363324","  9941","339588","388186","250812","196433","166571","505271","  9240"
"PE 40:6p; PE 18:2p/22:4; [M+H]+","    37","  1028","  1107","   778","   640","   528","   562","  1347","   431","   372","   575","   611","   185","   406","   247","   105","   357","   524","   212","    49","   416","   504","  1031","   310","   492","  1323","  1077","   797","    48","  1524","  1202","  1324","   587","   519","   149","   546","  2020","   387","   546","   764","   720","   511","   335","   399","   785","   364","  1376","   861","  1090","  1294","  1654","   692","   684","  2920","  1738","   501","  1677","  1215","   119","  1407","   817","  1383","    78","    32","   963","    55","   744","   508","   170","   225","   584","  1527","  1770"," 94720","188627"," 41480","146702","127775","179391"," 94929","   703","  1178"," 93226","136363","  2484","122352","   958","  1293","128517","  4190","120762"," 88844","208587"," 15313"
"PE 40:7; PE 18:1-22:6; [M+H]+","  2687","  2829","   379"," 13427","  1872","   819","  1370","  1622","  3358","  3292","  2862","   727","   510","  7574"," 11085","  4215","  2485","  4158"," 16285"," 10749","  6417"," 13719"," 11177"," 27900","  1209"," 26704","   625","   248","  3537","  3006","  1369","   465","  2614","   878"," 19515","  7166"," 18484"," 18397"," 19946","   993","  2194","  5362"," 21149"," 14422","  4229","  9846","  7317"," 12291","   658"," 33726"," 18002","   680","  2157","  2694","  1631","  2325","   751","  8874","  8059","  1337"," 14695","   575","  3456","   590"," 12693"," 19873"," 19076"," 23115","   684","  6122"," 20509","   706","339968","  6646"," 21199","  7982","579784","470538","642346","403689","594900","584266"," 12929","489598","273499","457206","548502","515407","407733","306800","397620","314484","897517","  3707"
"PE 40:7p; PE 18:1p/22:6; [M+H]+","    366","   7569","    997","   3830","  12013","   4195","    634","   9146","   6037","    150","   7241","   1247","   4046","   6356","   7601","     31","   5454","   5082","   5833","    553","   7637","   5699","   7846","   9041","   8776","    346","    998","    697","   4154","  13127","  11836","   9791","   6523","   2050","   1044","    293","  15123","    508","   7578","   7641","   4075","    223","  10661","   8592","   6672","   5139","   6179","   6209","   7789","  13755","   1162","   8653","  12100","   2065","  16284","    334","  12626","   9644","   9512","    595","  16115","  11193","    332","     97","  11704","    647","   7572","    964","     99","   9152","  10104","   1048"," 802256"," 858499","1447776"," 374666","1110772","1160365","1652122"," 793063","1467140","1355320"," 773136","1100044"," 637745","1148953","1326666","1179915"," 926974"," 620359","1101123"," 740990","1806574","    401"
"PE 40:8; PE 18:2-22:6; [M+H]+","   252","  4998","  3741","  1427","  2130","  1727","  7420","  2083","  1175","    99","  1375","  3715","   250","  1688","  2887","    67","  3887","  1099","  1256","   148","  1019","  1851","  3172","  3513","  6703","  4565","  2183","  2608","  3615"," 10545","  2349","  3107","  1096","   163","  3335","   189","    88","   462","   229","  6879","  3722","   167","  9222","  4500","  5453","   408","  3158","  2755"," 10640"," 63398","  1727"," 11212","  1958"," 10786"," 10123","  3490","  6415","  1840","  4951","  4730","   353","  2584","   218","   130","  4645","  4390","  9966","  3251","    52","  6255","   716","  4880"," 46918"," 41800","129686"," 25916","114455"," 64003"," 82332"," 52147"," 85740"," 71718"," 53334"," 56518"," 40757"," 65734","126463"," 96203"," 64666"," 37227","  7108"," 52445","165707"," 22372"
"PE 40:8; PE 20:4-20:4; [M+H]+","  5345","   617","   228","   339","   290","   266","    60","   261","   341","  1029","   307","   124","   415","   186","   325","  3629","   222","   282","  5574","  4191","  3064","  3385","   415","   790","   374","   385","   170","   360","   476","   462","    82","   211","   450","  5046","  7055","  1344","  6997","  6070","  6013","   317","   751","  1398","  7379","  5723","    40","  3838","  3034","   288","   352","   838","   281","   355","   609","   827","   483","   614","   948","   172","   649","  2837","  3894","   841","  2553","  2883","   566","  5585","   386","  3552","   394","   236","   402","   440"," 79674","102718","161547"," 93787","119456","119622","167497","131103"," 56413","116282","148671"," 62695","106506"," 81191","105557","118123"," 71111"," 76597","132733"," 63585"," 64579","  8768"
"PE 40:9e; [M+H]+ No 1","  1698","   662","   692","   478","   419","    95","   559","   115","   144","   982","   386","    47","    96","   621","  1163","  1145","  2286","   303","  1361","   478","   624","   380","   792","  2412","   320","   130","   157","   602","   487","    72","   105","   105","  2140","   726","  1276","  1571","  2988","  1783","   515","   295","   922","  1290","  3309","  1697","   351","  1142","  1281","   501","   650","  2883","   611","   222","  2499","   717","   268","   278","   850","   164","  1871","  3032","  1460","   468","  1597","  1116","   105","   232","  2396","  1287","   129","   435","  1176","   144"," 48747","  3621","  2599","  2115","  4240","  2045"," 55819","  1602"," 61090"," 44335"," 37150"," 52728","   958"," 45340"," 81768"," 47722"," 55458"," 47303","  1791"," 43847"," 59991","256958"
"PE 40:9e; [M+H]+ No 2","  1915","105050"," 87454"," 62243","126976"," 70336","110206"," 83983"," 75198","  1969","109199","126864"," 82902"," 67652","  1243","  1042"," 93983"," 66333","  1972","  2890","  1206","  1130"," 58962"," 78501","102822","113725"," 96416","106233"," 81721"," 69760"," 83175","109350"," 72433","  1540","   128","  1135","  1069","  2643","   429","104731"," 76047","  2955","  1662","  1938"," 82774","   820","  3198","104680","117365","219575","113093","136399","114144","170926","149415","114004","149244","102468","  1893","  1575","  3081","111201","  1479","  1659","111815","  3639","119318","  2554","   329","106125","   252","109811"," 15036","222799","171099","246214","115361","184899"," 84581","221377","  9176"," 10160","213770","195932"," 16292","119970"," 13412"," 10082","208221","  7352","140566","145177"," 74424"," 32840"
"PE 40:9p; PE 18:3p/22:6; [M+H]+","  157"," 5885"," 3698"," 1781"," 2158","   37"," 2096","  174"," 1434","  198"," 3865","  211"," 2215"," 2694"," 1387"," 2606","  122"," 3244","  587","  198"," 2659"," 1366","  479"," 2861"," 4415","  276","  508"," 1580"," 2538"," 4415"," 3738"," 4278"," 3209"," 3097"," 1799"," 3067","  143"," 2040"," 3895","  409"," 1009","  545"," 2723"," 2154","  342"," 2382"," 1641"," 3707"," 6693"," 8115","  104"," 4697"," 5762","   86"," 4200","   65","  114","  213"," 6181"," 3058"," 8785"," 5530"," 3060","  811"," 5177"," 1890"," 2645"," 6467","  660"," 3397"," 5429"," 8561","58985","68033","93517","45619","79322","47216","49935","62882","94685","83433","72288","49535","51894","62945","54390"," 1245","73220","51602","52640","48137","64680","56211"
"PE 42:4; PE 18:0-24:4; [M+H]+","  5893","  6581","  5727","  2551","  8295","  4916","  2900","  5002","   198","  4350","  6875","  7662","  3186","  4090","  2154","  3815","  4811","  4251","  4776","  6735","  5216","  4878","  3533","  7033","  2146","  6295","   180","  5540","  5096","  8692","  5444","  6491","  4247","  2816","  3615","  3424","  6551","  4680","  3972","  5410","  4209","  3498","  5821","  5185","   426","  4169","  6115","  4453","  6208","  6117","  5411","  3792","  5688"," 11464","  7193","  4549","  6070","  5525","  4619","  6611","  6752","  3811","  3211","  4369","  3733","  5678","  2072","  5205","   758","  3194","  6698","  5828"," 78933","100857","106764"," 50431","118537"," 40368"," 82446"," 85905","135103","100927"," 88526","104816"," 21855"," 86089"," 58534"," 57167"," 71960"," 59719"," 86928"," 61782","111157"," 10715"
"PE 42:4p; PE 18:0p/24:4; [M+H]+"," 2583"," 3765"," 6885"," 1905"," 8236"," 2958"," 2208"," 4570"," 4081"," 3179"," 3554"," 6417"," 3384"," 2742"," 3415"," 1681"," 3057"," 3638"," 2985","11857"," 4648"," 4083"," 2039"," 5148"," 2721"," 5509"," 3697"," 7138"," 3577"," 6926"," 4366"," 5642"," 3360"," 2238"," 2293"," 3845"," 7618"," 4103"," 3126"," 2301"," 3489"," 1720"," 3234"," 5517"," 4920"," 2933"," 3531"," 4557"," 6412"," 4485"," 3677"," 3654"," 6532"," 7960"," 7186"," 4548"," 4930"," 5266"," 2231"," 8461"," 8294"," 3891"," 8151"," 2943"," 4211"," 2872"," 2587"," 3793","  661"," 2781"," 4667"," 4180","56173","56873","70995","28403","83411","15616","63422","56990","80697","37532","51311","54579","30741","32226","24356","22545","26210","42313","57999","43755","60910","  536"
"PE 42:5; PE 18:0-24:5; [M+H]+","  1629","   780","  1760","   509","  2069","   973","   624","   612","  4074","  3535","  1034"," 37870","   481","   857","  2533","  1179","   632","   767"," 13247"," 52427","  2096","   552","   877","  1041","  1806","  1423","  2535","   753","   742","  5149","   948","   834"," 32658","  1558","  1082","  1270","  3262","  3324","  1176","   987"," 21402"," 24895","   280","   608","  2081"," 25445"," 41614","  1624","  1838","  1140","  1483","  1083","   953"," 48269","  1007","  1028","  1065","   733","   902","  1060","  1379","   665","  1715"," 15304","  2138","  1490","  1136","  1700","   243","   769","  1264","  3276"," 26445"," 58954"," 86968"," 29989","111714"," 61858"," 91627"," 51492"," 29171"," 67862"," 49059"," 71544"," 21732"," 59751"," 48479"," 60508"," 58854"," 61466"," 53373"," 54410"," 79023"," 12666"
