"","LIPPOS16JULY_04-D21_M26","LIPPOS16JULY_10-D21_M3","LIPPOS16JULY_17-D21_M10","LIPPOS16JULY_18-D21_M6","LIPPOS16JULY_22-D21_M5","LIPPOS16JULY_23-D21_M7","LIPPOS16JULY_24-D21_M21","LIPPOS16JULY_34-D21_M15","LIPPOS16JULY_36-D21_M24","LIPPOS16JULY_44-D21_M1","LIPPOS16JULY_45-D21_M2","LIPPOS16JULY_46-D21_M23","LIPPOS16JULY_48-D21_M8","LIPPOS16JULY_50-D21_M19","LIPPOS16JULY_51-D21_M22","LIPPOS16JULY_53-D21_M27","LIPPOS16JULY_55-D21_M20","LIPPOS16JULY_65-D21_M12","LIPPOS16JULY_69-D21_M18","LIPPOS16JULY_79-D21_M11","LIPPOS16JULY_81-D21_M13","LIPPOS16JULY_84-D21_M4","LIPPOS16JULY_88-D21_M25","LIPPOS16JULY_94-D21_M16","LIPPOS16JULY_08-D35_M4","LIPPOS16JULY_11-D35_M6","LIPPOS16JULY_14-D35_M2","LIPPOS16JULY_16-D35_M16","LIPPOS16JULY_19-D35_M12","LIPPOS16JULY_20-D35_M18","LIPPOS16JULY_25-D35_M1","LIPPOS16JULY_35-D35_M19","LIPPOS16JULY_37-D35_M23","LIPPOS16JULY_42-D35_M13","LIPPOS16JULY_56-D35_M22","LIPPOS16JULY_57-D35_M10","LIPPOS16JULY_58-D35_M11","LIPPOS16JULY_59-D35_M20","LIPPOS16JULY_60-D35_M3","LIPPOS16JULY_62-D35_M24","LIPPOS16JULY_67-D35_M21","LIPPOS16JULY_68-D35_M27","LIPPOS16JULY_73-D35_M26","LIPPOS16JULY_74-D35_M5","LIPPOS16JULY_83-D35_M15","LIPPOS16JULY_86-D35_M7","LIPPOS16JULY_87-D35_M25","LIPPOS16JULY_92-D35_M8","LIPPOS16JULY_03-D7_M7","LIPPOS16JULY_05-D7_M27","LIPPOS16JULY_06-D7_M23","LIPPOS16JULY_09-D7_M8","LIPPOS16JULY_12-D7_M18","LIPPOS16JULY_13-D7_M25","LIPPOS16JULY_15-D7_M16","LIPPOS16JULY_21-D7_M10","LIPPOS16JULY_26-D7_M19","LIPPOS16JULY_28-D7_M12","LIPPOS16JULY_39-D7_M21","LIPPOS16JULY_41-D7_M20","LIPPOS16JULY_43-D7_M6","LIPPOS16JULY_47-D7_M13","LIPPOS16JULY_52-D7_M11","LIPPOS16JULY_54-D7_M3","LIPPOS16JULY_61-D7_M2","LIPPOS16JULY_64-D7_M26","LIPPOS16JULY_70-D7_M24","LIPPOS16JULY_71-D7_M15","LIPPOS16JULY_75-D7_M22","LIPPOS16JULY_82-M1_D7","LIPPOS16JULY_85-D7_M4","LIPPOS16JULY_89-D7_M5","LIPPOS16JULY_02-M21","LIPPOS16JULY_07-M3","LIPPOS16JULY_27-M11","LIPPOS16JULY_29-M20","LIPPOS16JULY_30-M4","LIPPOS16JULY_31-M22","LIPPOS16JULY_32-M5","LIPPOS16JULY_33-M13","LIPPOS16JULY_38-M19","LIPPOS16JULY_40-M1","LIPPOS16JULY_49-M27","LIPPOS16JULY_63-M16","LIPPOS16JULY_66-M23","LIPPOS16JULY_72-M26","LIPPOS16JULY_76-M10","LIPPOS16JULY_77-M8","LIPPOS16JULY_78-M2","LIPPOS16JULY_80-M12","LIPPOS16JULY_90-M24","LIPPOS16JULY_91-M7","LIPPOS16JULY_93-M6","LIPPOS16JULY_95-M18"
"PC 35:3; PC 17:1-18:2; [M+H]+","-0.841920783"," 1.006323681"," 1.164251791"," 0.734074195"," 0.951913952"," 1.346074229"," 0.037439549"," 0.932648006"," 1.028066097"," 1.071319766"," 0.482903292"," 0.432038076"," 0.016824721"," 0.842817787"," 0.951913952"," 1.542185491"," 0.523878890"," 1.086562846"," 0.875464666"," 1.303867263"," 0.390296729"," 0.807736005"," 0.048523911"," 1.156902150"," 0.512719563"," 1.028066097"," 1.141731980"," 0.830246334"," 0.307690634"," 0.717636880"," 0.794747374"," 1.156902150"," 1.193090062","-0.278508702"," 0.910576146","-4.752122680"," 0.658455985","-1.219257115"," 0.712475644"," 0.658455985"," 0.138734021","-0.900975243","-0.952246800"," 0.800919688"," 1.020820126"," 0.743821403","-1.246732249"," 0.620011569","-0.009986372","-2.261948309","-0.039636657","-0.729985932"," 0.671709801"," 0.996875158"," 0.918502102"," 0.171025072"," 0.638563535"," 0.240078270","-0.123356491","-6.560923491"," 1.013329385"," 0.633107368","-0.501367787","-6.320592610"," 0.819065646","-0.422849360","-0.049941303"," 1.056773331","-1.187476587"," 0.938088098","-0.528505960"," 0.400093127","-0.510573321","-0.729985932","-0.747113517","-1.501510423","-1.535738042","-0.501367787","-0.991230526","-0.278508702","-0.197641709","-0.422849360","-0.860232587","-0.747113517"," 0.285412685","-0.291758338"," 0.021581875","-0.236620090","-1.123213885","-1.297754575","-1.747424754","-0.380908867"," 0.086478058"," 1.458068165"
"PC 35:4; PC 15:0-20:4; [M+H]+","-2.22310254"," 1.19157415","-0.38900505"," 0.65542721"," 0.95380699"," 0.25551996"," 0.02367560"," 1.14521133"," 0.30554201"," 0.89748964"," 0.97019290"," 0.44941915"," 0.23682305"," 0.65046104","-0.56147442","-2.02739592"," 0.96453518","-0.02873318"," 0.56368278","-4.41300522"," 0.24178259"," 0.74604856"," 0.38861589"," 0.97695672"," 0.38297327"," 1.03468309"," 1.11186370"," 0.39858732","-0.04194021"," 0.95940706"," 0.81761675"," 0.78461324"," 0.29346323"," 0.30554201"," 0.37821338","-3.77403422"," 0.03729214"," 0.52590678"," 0.86982773"," 0.04770093","-0.45337752","-2.62402786"," 0.48159245"," 0.82354250"," 1.11186370"," 0.21815841"," 0.26091459"," 0.08117438","-0.03761829"," 0.02367560"," 0.34135943","-0.03761829"," 0.74059607"," 0.68865154"," 0.76857894"," 0.32497825"," 0.67797628","-3.31269692"," 0.08939056","-3.05603951"," 1.10555688"," 0.49272557","-3.25140493","-2.53921535"," 0.49806797"," 0.12735564","-0.38305309"," 0.74059607","-5.27772333"," 1.03982729"," 1.03468309"," 0.74059607","-0.15747133"," 0.28836435"," 0.42846565","-0.37353410","-0.68980479"," 0.35276577"," 0.27099899","-0.09059580"," 0.57379178"," 0.28277776","-0.38900505"," 0.08939056"," 0.26591698","-0.12388285"," 0.78907420"," 0.71185442"," 0.08574084","-1.02743616","-0.42842549","-0.28889975"," 0.93654733"," 0.94851584"
"PC 35:4e; [M+H]+"," 2.14225735","-1.77331303","-0.85051106","-1.89761560","-0.86900452"," 0.57477952","-1.02545531","-0.22722754","-0.59755310"," 1.47094398"," 0.18998709","-1.55684096","-0.92770658","-1.80714401","-0.78589568","-0.08400825","-1.25830116","-0.25583088"," 0.40626320"," 1.64494936"," 0.05926238"," 0.21122346"," 0.58385115"," 1.57972772","-1.26218758","-1.39324967","-1.22088827","-1.74883448","-0.31712236"," 0.68261660"," 1.73978634","-1.20406455","-0.20462770"," 1.11233600"," 0.14817494"," 1.47553037","-0.54148211"," 1.93620720","-0.11387905","-0.74672096","-0.89742586"," 1.60051457"," 0.21122346"," 1.53285267"," 0.64769691"," 0.54696483"," 0.29168022","-0.14438300","-1.23962498","-0.35728627","-0.44198432","-1.61107256"," 1.07392333"," 1.54660248","-0.09859969","-3.09966806","-0.23703128","-0.36411465","-1.26218758"," 1.29504055"," 2.17142964"," 2.12980754"," 1.47553037"," 1.07017880","-0.46595128"," 0.85840774","-3.01155895"," 1.62183209"," 0.70718873","-0.55703465"," 1.64494936","-0.96166308"," 0.15591992","-0.46192334","-0.74127942","-2.46332946","-1.49909320","-1.45666190","-1.36471507","-1.20406455"," 2.44062389"," 1.19151589","-1.89761560","-2.12560874"," 1.77828510","-0.96166308"," 1.64955131"," 1.98301317"," 1.50870790"," 0.82868727","-1.08662765","-1.49909320"," 1.46743098"," 4.79327050"
"PC 35:5; PC 15:0-20:5; [M+H]+"," 1.73532283","-0.24102471","-0.07012767","-0.04959852"," 1.26185228","-0.04505299"," 1.88301830","-1.18574334","-0.83232244"," 0.16911319"," 1.28588646","-0.48251605"," 1.52602204"," 0.09458724"," 0.80033555","-0.51739843"," 0.40633461"," 1.30217860"," 1.20891895"," 0.10019108"," 1.34005458"," 1.43527910"," 1.53470174","-0.40016989"," 0.21009871","-0.27899311"," 1.03864755"," 1.65475005"," 1.81210800"," 0.58054221"," 1.61848701"," 1.31084694","-0.20680299"," 0.44980340","-1.29461196"," 1.75058182"," 0.56091926"," 1.19996682"," 1.63551023"," 1.56727595"," 1.71726709"," 1.53470174","-0.79949657","-0.05412676","-0.31202045"," 0.21817471"," 0.49518745","-1.65478549"," 1.30217860","-0.45919332","-0.16699625"," 1.69830526"," 0.40170260"," 1.42701570","-0.36830537","-2.46265505","-0.14990822"," 1.52170846"," 0.18971774"," 1.86844461"," 0.25748549","-0.24986539"," 0.35246378","-0.12209056"," 0.27228381"," 1.67389093"," 0.74917636"," 0.93662040"," 2.87274641","-0.79450242"," 0.94467852"," 0.94892618","-2.45159671","-3.05238995","-1.33658335","-2.62039517","-1.28322501","-2.40983782","-2.12102373","-1.89892732","-2.71102075","-2.27111016","-1.36990776","-2.56321142","-0.84426929","-2.44246998","-2.20677091","-2.44246998","-1.47608103","-3.06189307","-1.32326359","-1.50281084","-2.19831103"," 3.92986644"
"PC 36:0; PC 18:0-18:0; [M+H]+"," 0.27203881"," 0.48337588"," 0.05356997"," 0.97494886"," 0.72489124"," 0.32205024","-0.28681840"," 0.92839709","-0.26054191"," 1.12990728"," 0.20014105"," 0.61725354"," 0.54628336","-0.43884087","-1.13519102"," 0.43149253"," 0.06735730","-0.23125651","-0.57031003"," 1.28943348"," 0.81219219"," 0.85797010"," 0.59050366","-0.86667899","-1.23792308"," 0.11528640","-0.99586964","-0.55074028","-0.41602642","-0.02875594"," 0.45879972","-0.80271483"," 0.05356997"," 0.37394713"," 0.63289290","-0.48809649"," 0.27203881"," 0.19118073","-0.77516710","-0.21139942","-1.41753600"," 0.24636570"," 1.00784564","-0.74778668"," 0.27203881"," 0.01946292"," 0.59050366"," 0.44499260"," 0.72489124"," 0.81219219"," 0.43149253","-0.06406945"," 0.54628336"," 1.36056580"," 0.49648659"," 0.67585606","-0.51411961"," 1.57174338"," 0.67585606"," 0.38955502"," 1.24736640"," 0.49648659"," 0.84034313"," 0.54628336"," 0.48337588"," 0.24636570","-0.21139942","-0.39806219","-0.39806219"," 0.85797010"," 1.57174338"," 1.69732683","-0.41602642","-0.87508063","-0.84754781","-0.55919242"," 0.12680159","-1.12665015","-0.95959511","-1.21219664"," 0.10580911","-0.69418545","-1.13519102","-0.29609595","-0.95959511","-0.86667899","-1.07397730","-1.17154335","-1.63859302","-0.52320776","-0.18971180","-0.85750697","-0.43884087","-1.99674266"
"PC 36:0e; [M+H]+"," 0.686009220","-0.492706420"," 0.286745038","-1.181844730"," 0.396755810","-0.398347524","-0.619876127","-0.115481520","-0.511093835"," 0.633551405","-0.432713650","-0.172388853","-0.115481520","-0.124336697","-0.918245260"," 0.556370776","-0.001999907","-0.579604872","-0.685053639"," 0.413493127"," 0.268567090","-0.345129276","-0.322248917"," 0.138496835","-1.382707169"," 0.172376728","-0.164293124","-0.592805050","-1.041828635"," 0.015837884"," 0.022101541","-0.107586492","-0.751597656"," 0.065659854","-0.579604872"," 0.268567090"," 0.219961690"," 0.122928671","-0.597200769","-1.240218722","-1.483664864"," 0.357002733","-0.001999907","-0.579604872"," 0.633551405"," 0.413493127"," 0.129634207","-0.451606762"," 1.223042762"," 0.759771081"," 0.784759042"," 0.089016710"," 1.240241452"," 0.429131465"," 1.140213149"," 0.799299308"," 0.048566985"," 0.454111712"," 0.334655449"," 1.558381499"," 0.595498500"," 0.357002733"," 0.741803401"," 1.347922802"," 0.201143496","-0.313281042"," 0.508995654"," 0.578959005","-0.220407765"," 0.364257199"," 0.686009220"," 0.384361347","-0.297947109"," 0.396755810","-0.425310616","-0.045301116"," 0.403623597","-1.278211032","-0.692838298","-1.025294961"," 1.248751448"," 0.022101541","-1.068390078","-0.045301116","-0.220407765","-0.547725854","-0.963783507","-1.206456970","-1.278211032"," 1.052538921"," 0.191260960"," 0.201143496","-1.597539957"," 3.273255875"
"PC 36:1; PC 16:0-20:1; [M+H]+","-0.04472469"," 0.12801254"," 0.12801254"," 0.12801254","-0.51140792"," 0.54614383","-0.22082681"," 0.12801254","-0.04472469","-0.36993888"," 0.12801254","-0.36993888","-0.22082681","-0.22082681"," 0.31838691"," 0.54614383"," 0.12801254"," 0.31838691"," 0.54614383"," 0.54614383"," 0.12801254"," 0.31838691","-0.22082681","-0.22082681","-0.51140792","-0.51140792","-0.51140792","-0.51140792","-0.04472469","-0.22082681","-0.51140792","-0.51140792"," 0.31838691"," 0.54614383"," 0.31838691"," 0.31838691"," 0.54614383","-0.51140792"," 0.12801254","-0.22082681","-0.04472469"," 0.31838691"," 0.54614383","-0.04472469","-0.51140792"," 0.31838691"," 0.31838691","-0.04472469","-0.22082681","-0.22082681","-0.04472469","-0.51140792"," 0.12801254","-0.04472469","-0.22082681"," 0.31838691","-0.22082681"," 0.31838691","-0.04472469"," 0.12801254"," 0.54614383","-0.22082681"," 0.31838691","-0.04472469","-0.22082681"," 0.31838691","-0.36993888"," 0.12801254","-0.64578569","-0.78360296"," 0.12801254","-0.22082681"," 1.08167789","-0.22082681"," 0.72362075"," 0.72362075"," 0.54614383"," 0.31838691","-0.22082681"," 0.54614383"," 0.12801254","-0.04472469","-0.04472469"," 0.12801254"," 1.54365316"," 0.72362075"," 0.89540161"," 0.89540161"," 0.31838691","-0.64578569"," 0.31838691"," 0.12801254"," 0.12801254","-6.82183064"
"PC 36:1e; [M+H]+","-0.16177737","-0.80308652","-0.01760697","-1.21262444"," 0.07562618","-0.58602125","-0.28741591","-0.78011076","-0.83903516","-0.41686837","-1.21262444","-0.43683981","-0.19152157","-0.61670024","-1.57870269","-0.22061325","-0.97604813","-0.89505300","-1.17402714","-0.66075074","-0.30764359","-0.76205390","-0.80921764","-0.34791639","-0.96392420","-0.57136263","-0.53332936","-0.74994277","-1.09780284","-0.32058847","-0.55374140","-0.24070853","-0.59782147","-0.66075074","-0.61670024","-0.31367848","-0.43683981","-0.73113008","-0.92537004","-0.74283352","-1.29715424","-0.28741591","-0.48963470","-0.62930468","-0.36574664","-0.44391766","-0.44391766","-0.47097448"," 0.82938701"," 0.24883895"," 0.01517780"," 0.11548231"," 0.45315150","-0.35907378"," 0.25361083","-0.02562451","-0.19152157","-0.19968338","-0.11134094"," 0.87340664","-0.08740263"," 0.02253216"," 0.05349283"," 0.15017518","-0.39786407","-0.85718159"," 0.09927327","-0.27930666","-1.02974420","-0.78011076"," 0.13308564"," 0.13308564"," 1.65624072"," 1.88911769"," 2.41001062"," 1.13488739"," 2.39152020"," 1.61130839"," 1.31696472"," 1.03840744"," 2.64244033"," 2.02539999"," 0.30827193"," 1.59360914"," 1.88911769"," 1.67690249"," 1.43475435"," 1.05220685"," 0.96636957"," 2.28875255"," 2.56410422"," 1.83478394"," 0.76986907","-3.85366132"
"PC 36:2; [M+Na]+","-0.54501134"," 1.42250686"," 1.60222017"," 1.49883767"," 0.76301926"," 1.87828780"," 1.83249740","-0.31970154"," 1.31341787","-1.84432085"," 1.42250686"," 0.62223513"," 1.83249740"," 0.57426307"," 0.49462434","-0.12191396"," 1.03914885"," 1.55357413","-0.58498687","-0.76309590","-1.97722177","-1.54872248","-1.11410017"," 1.33333412"," 1.91153345"," 0.49462434"," 1.39611102"," 1.35492533"," 1.95389902"," 0.63977240"," 1.65777447"," 0.89153203"," 1.31341787","-0.21586763","-1.08449802","-0.60311635","-1.15330643","-1.39168532","-0.99957857"," 1.65777447"," 1.02264655","-0.58498687","-0.65673487","-1.27407927"," 1.75259502","-0.66544939","-1.16659405"," 0.67733863"," 1.22370611","-1.41646104","-1.42755706"," 1.07752082"," 0.15135385"," 1.39611102"," 1.35492533"," 1.95389902","-0.64855567"," 1.79078618","-0.01246096","-0.26144101","-2.00655292"," 1.62604067","-0.49703740","-1.98737293"," 0.21599200","-0.82811279","-0.93635942","-0.69831785","-1.07749810"," 1.31341787","-0.97073831"," 1.15742782","-0.68231929"," 0.10793712","-0.57587561","-0.19545815","-0.34090056","-1.14752987","-0.45924768","-1.12744784","-1.59333544","-1.13460332","-1.56664576","-0.67378450","-0.65673487","-0.88965057","-1.22403282","-1.09818814","-1.76941383","-1.27407927","-0.33223728","-1.02313473","-1.60593633"," 1.47795964"
"PC 36:2; PC 18:0-18:2; [M+H]+","-1.05394892"," 0.08402953"," 1.31369808"," 1.01288656"," 1.01288656"," 1.31369808"," 1.01288656"," 1.01288656"," 1.31369808","-1.85323442"," 0.65512850"," 1.31369808"," 1.01288656","-1.68032398","-1.14993810","-0.95289427"," 1.01288656","-1.24838420","-1.48541784","-1.24838420","-1.97134510","-1.51651566","-1.61270248","-1.68032398"," 1.01288656"," 0.65512850"," 0.65512850"," 0.65512850"," 1.31369808"," 1.01288656"," 0.65512850"," 0.20915369","-1.32732865","-1.05394892","-1.61270248","-1.32732865","-1.32732865","-1.54840819","-1.48541784"," 1.31369808"," 1.31369808","-0.95289427","-0.95289427","-1.41612197"," 1.01288656","-1.24838420","-1.48541784"," 1.31369808"," 1.01288656","-1.68032398"," 1.31369808"," 1.01288656"," 1.01288656"," 1.01288656"," 1.01288656"," 1.31369808"," 0.65512850"," 1.31369808","-1.54840819","-0.84638003","-0.95289427"," 1.01288656","-1.41612197","-1.14993810"," 0.65512850","-1.05394892","-1.85323442","-1.24838420","-2.58535343"," 0.20915369","-1.28723233"," 1.01288656"," 0.65512850"," 0.41402927"," 1.31369808"," 1.01288656"," 0.65512850"," 1.77376680","-0.04903197"," 1.31369808"," 0.41402927"," 0.41402927"," 1.31369808"," 0.65512850"," 0.08402953"," 0.65512850"," 0.41402927"," 0.41402927"," 0.08402953","-0.17173905"," 1.01288656","-0.04903197"," 0.08402953"," 0.65512850"
"PC 36:2; PC 18:1-18:1; [M+H]+","-3.8034583"," 1.2813634"," 1.3881479"," 1.4458714"," 1.0305763"," 1.2280123"," 1.1852297"," 1.2280123"," 1.1852297"," 0.9290580"," 1.4458714"," 1.1371097"," 0.9290580","-2.6090570"," 1.3881479","-3.1178882"," 1.1852297"," 1.1852297","-2.6630554"," 1.1852297","-2.6414933"," 1.0827031"," 0.9939300"," 1.0305763"," 1.0305763"," 1.0305763"," 1.1371097"," 0.9939300"," 1.1852297"," 1.0654195"," 0.9594925"," 1.0305763"," 1.2280123","-3.5040445","-3.0990814","-2.7907694","-3.7675759","-2.9899202","-3.5117767"," 0.9290580"," 1.3881479"," 1.3333831","-3.1630244"," 1.0654195"," 0.9939300","-1.8604018","-3.1597866"," 0.9290580"," 0.9594925"," 0.9594925"," 1.1371097"," 1.0305763"," 1.0995560"," 1.0654195"," 1.1371097"," 1.4458714"," 1.1852297"," 1.2813634","-3.5274193","-3.1708769","-2.8874870"," 0.9939300","-2.7818571","-3.0885514"," 1.0654195","-1.1418642","-2.8800333","-2.6534225","-3.6277442"," 0.9939300"," 1.2069592"," 1.0305763","-4.3712372"," 1.8114813"," 2.1289283"," 1.8779803"," 1.8114813"," 1.9500907"," 1.8114813"," 1.8114813","-2.5682936"," 2.0178995"," 1.6546092"," 2.0178995","-3.5809739"," 2.1289283","-4.9436471"," 2.0178995"," 2.1289283"," 1.5809124"," 2.0178995"," 1.8114813","-4.4846514"," 2.4534685"
"PC 36:2e; [M+H]+","-0.33422602","-1.07254959"," 0.14165235","-1.29499391","-0.29261731","-0.38637830","-0.53943395","-0.99016999","-0.74334332","-0.57462277","-1.08282009","-0.50738417","-0.13641618","-0.64084294","-1.81955405","-0.39646368","-0.81239168","-0.87458429","-1.23102074","-0.60552458","-0.39646368","-0.49673460","-0.85508141","-0.51770488","-0.39646368","-0.67201486","-0.70591860","-0.88282294","-0.72401162","-0.09500108","-0.19353356"," 0.34066060","-0.22888139","-0.40700073","-0.33422602","-0.17944058","-0.30603879","-0.55062740","-0.99989947","-0.25288178","-1.00924576","-0.28103157","-0.02334643","-0.58273738","-0.66291918","-0.37195811","-0.20552658","-0.38637830"," 0.35897319","-0.10920871","-0.22888139"," 0.01802887"," 0.07620180","-0.61926482"," 0.03476303","-0.13641618","-0.39646368","-0.39646368","-0.30603879"," 0.67527485","-0.20552658","-0.05296062","-0.20552658","-0.30603879","-0.67201486","-0.94829372","-0.14967794","-0.69620963","-1.28895471","-0.83253707","-0.08011645"," 0.19133465"," 1.70938591"," 2.11508781"," 2.20552973"," 1.52109874"," 2.11508781"," 2.11508781"," 1.56859624"," 1.00214072"," 2.25400918"," 1.99021909"," 0.63801165"," 1.61572553"," 2.20552973"," 1.79591249"," 1.52109874"," 1.61572553"," 1.25115886"," 1.73327689"," 2.30541027"," 1.56859624"," 1.16469713","-3.16445333"
"PC 36:3; [M+Na]+","-0.53094831"," 0.09280088"," 0.57024881"," 0.25252315","-0.56290504"," 0.73381121","-0.00451033"," 0.12827383"," 0.30546257","-0.23402646"," 0.19016129"," 0.05666692","-0.04831152"," 1.01833351"," 0.50161912"," 1.79644574"," 0.04255920"," 0.29153933"," 0.68730258"," 1.01833351"," 0.95097566"," 1.07685307"," 1.27073951"," 0.86511808","-0.38408517","-0.35803091","-0.15083801","-0.72114961"," 0.03050741","-0.35803091"," 0.19016129","-0.36709480"," 0.74666520"," 1.46109317"," 1.46109317"," 0.96738749"," 0.19016129"," 1.00229524"," 1.20372885"," 0.20177960"," 0.04255920"," 0.29153933"," 1.79644574"," 1.14775712","-0.28298180"," 0.41141015"," 1.58670466"," 0.11844510","-0.01789317"," 0.84866145","-0.35803091","-0.30543607","-0.60491636"," 0.10599996","-0.74556310"," 0.34429039","-0.48861416"," 0.23933758","-0.10812458"," 1.54354621"," 1.13094943","-0.26372840"," 1.23458150"," 1.32575618","-0.47862492"," 1.65709178","-0.09344357"," 1.28576077"," 0.44082673","-0.44274676"," 1.03695797","-0.06873254"," 0.16107883","-2.47840188","-2.46058657","-1.54541004","-3.21491199","-1.78472811","-2.86798338","-3.00410563","-0.02725304","-0.40296359","-2.38235463","-2.84659467"," 0.44082673","-0.35803091","-0.47097893","-0.27454045","-0.24295585","-0.46110536","-2.53612896","-2.26066564","-0.76491735"," 1.86821688"
"PC 36:3; PC 16:0-20:3; [M+H]+"," 1.62914974","-0.65724479","-0.22236566","-0.78355449","-1.27125290"," 0.25581010","-0.48799582","-0.76863956"," 0.05830333"," 1.21667480","-0.41568621","-0.17855197","-0.78355449"," 0.95021547"," 2.38804720"," 2.01184323","-0.97717014","-0.07642566"," 1.09976165"," 2.12182444"," 1.39189255","-1.25924673"," 1.54140195","-0.65724479","-1.42219345","-1.04105199","-1.64783399","-1.04105199"," 0.54351984","-1.10380437","-0.79795080","-1.07090557"," 0.31414577"," 1.89971961"," 2.50104615","-0.20334122"," 2.12182444"," 1.47103654"," 1.62914974"," 0.03354976"," 0.38858053"," 2.38804720"," 2.50104615"," 1.54140195","-0.48799582"," 2.12182444"," 2.01184323"," 0.03354976","-0.75293372","-1.11730954","-0.48799582","-1.08972513","-1.50060470","-2.05198381","-1.33012977","-0.35048022","-1.45513897","-2.05198381","-0.64007940"," 0.89700651"," 0.95021547","-0.70610114"," 1.71470761"," 1.54140195","-1.13192103"," 2.50104615","-0.97717014"," 1.21667480"," 0.95021547","-1.23069656"," 1.39189255","-1.02924250"," 0.61464370","-0.94325221","-0.24029493","-2.29130484","-1.59480571","-1.71410613","-0.48799582","-0.43416423"," 0.38858053","-1.02924250","-0.60771463","-0.78355449"," 1.04970535","-0.53220536"," 1.09976165"," 1.39189255","-0.81389002","-0.05631191","-0.81389002","-0.72252787","-0.59138592","-2.95774861"
"PC 36:3; PC 18:1-18:2; [M+H]+","-4.168938693"," 0.254523257"," 1.287949279","-0.267849537","-0.332352468"," 1.594767590","-0.276221971","-0.096267412"," 0.587777094","-0.114397103"," 0.254523257"," 0.471432902","-0.044078714","-0.400106786"," 1.287949279"," 2.018819570","-0.105261315"," 1.453432335","-0.595496839"," 1.691419274","-0.323745511","-0.105261315"," 0.039432801"," 0.139617073","-0.551500780","-0.114397103"," 0.139617073","-0.096267412"," 0.940993948"," 0.079368868","-0.208343244","-0.062106983"," 1.553251746"," 1.072332290"," 1.253554212"," 0.109325533"," 0.713109280","-0.299559499","-0.480807054"," 0.386282049","-0.044078714"," 1.381214927"," 1.484046741","-0.233083598"," 0.254523257"," 0.587777094"," 1.269468633"," 0.652378913"," 0.177688447"," 0.049961870"," 0.509571913","-0.456582095","-0.044078714"," 0.386282049","-0.250237866"," 0.536189631","-0.208343244","-3.035775430","-0.180329088"," 0.100295399","-0.062106983","-0.151070310","-0.053019664","-4.258413578","-0.543500884"," 1.347087812","-0.589935360","-0.198545914","-0.608331577","-0.314785669"," 0.049961870","-0.250237866","-0.131592119","-0.305706247"," 0.351083022","-4.265649380","-0.647182679"," 0.727505139"," 0.100295399"," 0.600630514","-4.432574911","-0.013421669"," 0.351083022","-0.140853127"," 0.562102531"," 0.496488154"," 0.824844077"," 0.893864717","-0.002693118","-1.084059790","-0.069681457"," 0.067890151"," 0.129809918","-0.002693118"
"PC 36:3e; [M+H]+","-3.143236006","-1.572706186","-2.405542068","-0.884221125","-1.815398550","-1.962637093","-1.591663685"," 0.052154095","-1.656259389"," 0.118282377","-0.011229481","-2.161173089"," 0.244353731"," 0.247983098","-2.557359504","-2.433275482"," 0.074262657"," 0.301392768","-0.032576263","-3.627390589","-0.136171639"," 0.192229662"," 0.079194949"," 0.146685063"," 0.645394022","-1.945335846","-1.019617640"," 0.370780736"," 0.354186117"," 0.645394022"," 0.487504733"," 0.727735405"," 0.408783974"," 0.289284455","-3.912583634"," 0.346752587"," 0.689097748","-2.132504058"," 0.222907206","-1.777839402"," 0.438287331"," 0.378872313"," 1.160410414"," 0.034114323"," 0.004364379"," 0.391754515"," 0.329664495"," 0.408783974"," 0.091312288","-0.053395390","-2.052520027","-2.263810454","-2.754660650"," 0.107468074","-2.247194154","-1.615234758","-2.233503466","-0.970738214"," 0.361830778"," 0.404641901"," 0.127152969"," 0.200190603"," 0.338720022"," 0.382748878","-0.043861940","-2.973930982"," 0.261031697"," 0.034114323","-2.112474426"," 0.083373178","-1.661669790","-2.169006200"," 2.415300982"," 2.273789323"," 2.560883427"," 2.329363361"," 2.344039369"," 2.833571972"," 2.077253653"," 2.044690350"," 2.617648290"," 2.506028949"," 1.907951712"," 2.258107727"," 2.545879613"," 2.441945734"," 2.415300982"," 2.583450488"," 2.203808759"," 2.007126776"," 2.457462070"," 2.203808759"," 1.827241122","-1.107128097"
