"metabolite"	"fStatEx"	"pvalEx"	"fStatWt"	"pvalWt"	"fStatTime"	"pvalTime"	"fStatEx_Wt"	"pvalEx_Wt"	"fStatEx_Time"	"pvalEx_Time"	"fStatWt_Time"	"pvalWt_Time"	"fStatEx_Wt_Time"	"pvalEx_Wt_Time"
"Glutamine"	1.431	0.237	0.707	0.404	0.549	0.581	0.941	0.337	1.404	0.255	0.727	0.488	1.48	0.237
"Lysine"	0.299	0.587	6.56	0.013	1.907	0.159	9.283	0.004	0.067	0.936	4.081	0.023	2.119	0.13
"2-Oxo-4-methylthiobutanoate"	0.328	0.569	9.273	0.004	1.262	0.292	0.001	0.975	0.286	0.753	0.889	0.417	0.879	0.421
"Methionine"	1.155	0.288	3.514	0.066	5.671	0.006	0.303	0.585	0.249	0.78	0.245	0.783	1.117	0.335
"Ribose"	1.333	0.254	0.204	0.653	1.052	0.357	0.001	0.982	2.272	0.113	0.491	0.615	1.451	0.244
"3-Methylphenylacetic-acid"	0.3	0.586	0.275	0.602	1.859	0.166	1.483	0.229	1.047	0.358	0.493	0.614	0.342	0.712
"anthine"	0.163	0.688	0.815	0.371	3.436	0.04	3.601	0.063	0.056	0.946	0.946	0.395	4.05	0.023
"Hydroxyphenylacetic-acid"	1.19	0.28	0.014	0.906	2.664	0.079	0.28	0.599	0.039	0.962	0.677	0.513	0.432	0.652
"2-3-Dihydroxybenzoic-acid"	0.008	0.93	0.011	0.916	0.388	0.68	0.04	0.843	1.485	0.236	0.903	0.411	0.163	0.85
"Histidine"	0.357	0.553	0.398	0.531	1.708	0.191	0.199	0.658	0.835	0.44	0.213	0.809	1.716	0.19
"2-Aminooctanoic-acid"	0.968	0.33	0.013	0.911	4.467	0.016	1.387	0.244	0.293	0.747	0.447	0.642	0.134	0.875
"Indole-3-carboxylic-acid"	0.677	0.414	0.713	0.402	0.069	0.933	0.02	0.889	1.108	0.338	0.134	0.875	0.711	0.496
"Phenylpyruvate"	0.572	0.453	0.003	0.956	1.321	0.276	2.188	0.145	0.268	0.766	0.497	0.611	0.939	0.398
"Phenylalanine"	0.017	0.897	2.22	0.142	1.924	0.156	3.351	0.073	0.708	0.497	0.295	0.746	1.294	0.283
"Phenyllactic-acid"	7.81	0.007	0.052	0.821	0.07	0.932	3.705	0.06	1.822	0.172	1.105	0.339	0.686	0.508
"Quinolinate"	0.553	0.46	4.784	0.033	0.695	0.503	0	0.985	1.069	0.351	1.521	0.228	5.884	0.005
"Phosphoenolpyruvate"	0.015	0.902	1.084	0.303	0.147	0.864	0.502	0.482	0.02	0.98	2.622	0.082	1.35	0.268
"Uric-acid"	0.585	0.448	0.153	0.698	2.427	0.098	0.011	0.916	0.19	0.827	0.33	0.721	1.133	0.33
"Dihydroxy-acetone-phosphate"	0.024	0.877	1.268	0.265	1.782	0.178	0.121	0.729	0.303	0.74	0.873	0.424	1.81	0.174
"Glyceraldehdye-3-phosphate"	0.509	0.479	2.137	0.15	0.454	0.637	0.239	0.627	0.404	0.67	0.116	0.891	0.501	0.609
"sn-Glycerol-3-phosphate"	2.315	0.134	0.436	0.512	4.561	0.015	0.199	0.657	2.389	0.102	0.642	0.53	1.453	0.243
"Aconitate"	3.115	0.083	0.03	0.863	0.05	0.952	0.17	0.681	0.536	0.588	3.56	0.036	0.188	0.829
"N-Acetyl-L-ornithine"	0.392	0.534	1.384	0.245	0.063	0.939	2.867	0.096	1.013	0.37	0.004	0.996	0.906	0.41
"Arginine"	1.942	0.169	2.81	0.1	0.694	0.504	2.9	0.095	0.278	0.758	0.801	0.454	2.774	0.072
"Acetyl-aspartate"	0.664	0.419	6.131	0.017	1.375	0.262	0.166	0.685	0.049	0.952	3.332	0.043	0.199	0.82
"Citrulline"	1.068	0.306	0.925	0.341	1.114	0.336	0.018	0.894	1.313	0.278	0.243	0.785	2.135	0.129
"Ascorbic-acid"	1.056	0.309	0.183	0.67	0.526	0.594	0.054	0.817	0.489	0.616	1.682	0.196	1.376	0.262
"N-Carbamoyl-L-aspartate"	0.057	0.812	1.602	0.211	0.097	0.907	0.052	0.82	0.371	0.692	0.182	0.834	0.045	0.956
"Allantoate"	0.345	0.559	0.293	0.591	1.768	0.181	0.112	0.74	0.064	0.938	0.603	0.551	0.599	0.553
"2-Isopropylmalic-acid"	0.007	0.935	0.75	0.39	2.073	0.136	0.387	0.537	0.31	0.734	0.146	0.864	0.359	0.7
"Glucono-_-lactone"	0.684	0.412	0.56	0.457	2.664	0.079	0.418	0.521	0.459	0.634	0.055	0.946	0.363	0.697
"Hydroxyphenylpyruvate"	0.005	0.945	0.451	0.505	2.504	0.092	0.843	0.363	0.687	0.508	0.883	0.42	1.201	0.309
"Glucose"	4.284	0.043	0.026	0.872	3.108	0.053	0.193	0.662	2.291	0.111	1.481	0.237	1.643	0.203
"4-Pyridoxic-acid"	3.764	0.058	0.392	0.534	1.39	0.258	0.152	0.698	0.135	0.874	1.206	0.308	1.065	0.352
"3-Phospho-serine"	0.734	0.396	0.76	0.387	1.24	0.298	0.019	0.892	1.269	0.29	1.751	0.184	2.157	0.126
"3-Phosphoglycerate"	0.05	0.824	0.024	0.878	0.449	0.641	0.141	0.708	0.248	0.782	0.849	0.434	0.906	0.41
"N-Acetyl-glutamine"	1.345	0.251	3.078	0.085	0.883	0.419	0.006	0.941	0.013	0.987	0.445	0.643	0.406	0.668
"Acetyllysine"	0.912	0.344	7.193	0.01	0.727	0.488	1.124	0.294	0.303	0.74	0.351	0.706	1.859	0.166
"Kynurenic-acid"	0.231	0.633	0.225	0.637	0.882	0.42	0.086	0.77	1.247	0.296	0.031	0.969	1.381	0.26
"N-Acetyl-glutamate"	2.145	0.149	1.167	0.285	0.742	0.481	0.479	0.492	0.826	0.444	2.855	0.067	0.52	0.598
"Citrate-isocitrate"	0.335	0.565	1.023	0.316	1.511	0.23	0.156	0.695	0.151	0.86	1.54	0.224	1.489	0.235
"2-Keto-D-gluconate"	3.086	0.085	0.084	0.774	1.877	0.163	0.015	0.904	0.869	0.425	0.213	0.809	0.364	0.697
"Erythrose-4-phosphate"	0.042	0.838	1.083	0.303	1.186	0.313	0.586	0.447	0.646	0.528	0.161	0.851	0.047	0.954
"Tryptophan"	2.045	0.159	3.763	0.058	0.02	0.981	0.835	0.365	0.44	0.647	0.421	0.659	0.782	0.463
"anthurenic-acid"	0.464	0.499	5.944	0.018	0.484	0.619	0.002	0.969	0.815	0.448	0.197	0.822	0.083	0.92
"Glucarate"	0.376	0.542	7.077	0.01	0.609	0.548	4.053	0.049	0.201	0.819	0.049	0.952	1.161	0.321
"Deoxyribose-phosphate"	2.367	0.13	2.265	0.138	0.369	0.693	0.521	0.474	0.774	0.466	0.46	0.634	2.113	0.131
"Pantothenate"	0.166	0.685	5.245	0.026	7.933	0.001	0.698	0.407	0.18	0.836	0.321	0.727	1.468	0.24
"Cystathionine"	2.518	0.119	0.229	0.634	0.93	0.401	0.004	0.95	0.834	0.44	0.352	0.705	1.543	0.223
"Deoxyuridine"	0.966	0.33	2.987	0.09	6.524	0.003	1.077	0.304	1.097	0.341	0.182	0.834	1.256	0.293
"Ribulose-5-phosphate"	0.427	0.516	2.29	0.136	3.131	0.052	0.074	0.787	1.11	0.337	0.051	0.95	1.753	0.183
"Ribose-5-phosphate"	0.008	0.93	0.04	0.842	0.12	0.887	0.45	0.505	0.108	0.898	1.521	0.228	1.225	0.302
"Pro-Asp--PD-"	0.157	0.694	0.03	0.862	4.805	0.012	0.822	0.369	2.576	0.086	0.788	0.46	0.925	0.403
"Val-Asp--VD-"	1.076	0.304	0.096	0.758	0.086	0.918	0.592	0.445	0.512	0.602	0.721	0.491	0.435	0.649
"Uridine"	0.74	0.394	2.03	0.16	3.745	0.03	0.871	0.355	0.152	0.859	0.254	0.777	0.352	0.705
"Leu-Asp--LD-"	1.226	0.273	0.022	0.882	0.714	0.494	0.244	0.623	0.887	0.418	2.552	0.088	0.639	0.532
"Glucosamine-1-6-phosphate"	0.541	0.465	0.1	0.753	0.627	0.538	0.844	0.362	0.442	0.645	2.136	0.128	0.333	0.718
"Glucose-1-6-phosphate"	0.004	0.951	2.137	0.15	0.881	0.42	0.119	0.732	0.509	0.604	0.234	0.792	1.189	0.313
"Fructose-6-phosphate"	0.006	0.941	3.232	0.078	2.375	0.103	0.001	0.97	0.221	0.802	0.341	0.713	0.705	0.499
"Inosine"	2.557	0.116	1.548	0.219	0.645	0.529	0.022	0.883	0.406	0.668	0.287	0.752	0.872	0.424
"6-Phospho-D-gluconate"	0.837	0.364	0.025	0.874	1.695	0.194	0.177	0.676	1.466	0.24	0.833	0.44	1.295	0.283
"Chlorpropamide"	0.001	0.978	1.152	0.288	0.437	0.649	0.793	0.377	0.455	0.637	0.13	0.879	1.54	0.224
"Pantetheine"	0.324	0.572	2.027	0.161	0.577	0.565	3.611	0.063	0.413	0.664	0.54	0.586	1.029	0.365
"anthosine"	0.008	0.93	0.793	0.377	10.069	0	4.921	0.031	3.599	0.034	2.443	0.097	0.22	0.803
"D-Sedoheptulose-1-7-phosphate"	2.795	0.101	1.95	0.168	1.086	0.345	0.052	0.82	0.057	0.945	0.228	0.797	2.523	0.09
"S-Methyl-5--thioadenosine"	2.772	0.102	4.481	0.039	0.081	0.922	0.107	0.745	0.239	0.788	0.003	0.997	0.932	0.4
"4-Phosphopantothenate"	1.392	0.243	0.668	0.418	2.824	0.069	2.895	0.095	3.375	0.042	0.545	0.583	2.557	0.087
"N-Acetyl-glucosamine-1-6-phosphate"	2.492	0.121	0.81	0.372	2.462	0.095	0.062	0.804	0.747	0.479	0.355	0.703	0.947	0.394
"dCMP"	0.916	0.343	2.513	0.119	0.718	0.493	0.293	0.591	1.141	0.327	0.806	0.452	2.175	0.124
"Glutathione"	0.011	0.918	8.163	0.006	0.98	0.382	0.118	0.732	0.255	0.776	0.052	0.95	1.322	0.276
"dTMP"	0.098	0.756	0.216	0.644	0.383	0.684	1.986	0.165	1.04	0.361	1.761	0.182	0.068	0.934
"CMP"	1.469	0.231	10.759	0.002	0.734	0.485	0.1	0.753	0.198	0.821	0.264	0.769	0.351	0.706
"UMP"	1.878	0.176	5.844	0.019	2.065	0.137	0.036	0.85	1.422	0.25	0.183	0.834	2.993	0.059
"Cyclic-AMP"	1.298	0.26	0.227	0.636	2.431	0.098	1.09	0.301	0.119	0.888	0.422	0.658	0.156	0.856
"dAMP"	0.02	0.889	2.208	0.143	0.105	0.901	0.411	0.524	0.594	0.556	0.236	0.79	0.19	0.827
"Fructose-1-6-bisphosphate"	5.848	0.019	0.039	0.844	0.337	0.716	0.752	0.39	1.434	0.248	0.436	0.649	0.284	0.754
"Trehalose-Sucrose"	0.005	0.947	4.104	0.048	0.442	0.645	0.047	0.83	1.046	0.359	0.218	0.805	0.165	0.849
"AMP"	0.023	0.88	0.451	0.505	3.29	0.045	0.222	0.639	0.814	0.449	2.236	0.117	1	0.375
"IMP"	0.078	0.781	0.839	0.364	0.652	0.525	3.034	0.087	0.225	0.8	0.815	0.448	0.157	0.855
"GMP"	0.547	0.463	0.998	0.322	0.66	0.521	0.185	0.669	0.344	0.71	0.425	0.656	0.746	0.479
"anthosine-5-phosphate"	1.475	0.23	0.671	0.416	1.614	0.209	0.045	0.832	1.546	0.223	1.22	0.303	0.723	0.49
"Sedoheptoluse-bisphosphate"	1.859	0.179	0.15	0.7	0.517	0.599	0.909	0.345	1.824	0.172	1.465	0.241	0.68	0.511
"Riboflavin"	0.906	0.346	0.947	0.335	0.621	0.541	0.668	0.418	0.164	0.849	1.661	0.2	1.793	0.177
"S-Adenosyl-L-homocysteine"	0.893	0.349	0.389	0.536	1.733	0.187	0.105	0.747	0.113	0.893	1.055	0.355	0.231	0.794
"Octoluse-bisphosphate"	1.282	0.263	0.069	0.794	0.118	0.889	0.257	0.614	1.158	0.322	3.077	0.055	1.955	0.152
"CDP"	0.384	0.538	0.187	0.668	0.042	0.959	0	0.996	0.898	0.414	2.297	0.111	1.31	0.279
"UDP"	1.545	0.219	2.661	0.109	0.611	0.547	0.948	0.335	0.021	0.98	2.094	0.134	1.386	0.259
"Trehalose-6-Phosphate"	0.252	0.618	2.184	0.146	0.473	0.626	0.178	0.674	0.65	0.526	0.26	0.772	0.528	0.593
"ADP"	5.46	0.023	0.528	0.471	0.586	0.56	1.046	0.311	0.572	0.568	2.26	0.115	0.06	0.942
"GDP"	0.018	0.893	0.056	0.814	0.387	0.681	0.115	0.736	0.107	0.899	0.132	0.876	0.079	0.924
"CDP-ethanolamine"	1.893	0.175	1.279	0.263	2.23	0.118	0.005	0.947	0.347	0.709	1.301	0.281	1.118	0.335
"FMN"	0.139	0.711	0.004	0.949	4.783	0.012	0.062	0.805	1.169	0.319	0.661	0.521	0.459	0.635
"5-Methyl-THF"	0.678	0.414	1.517	0.224	0.067	0.935	0.857	0.359	0.313	0.733	1.906	0.159	0.572	0.568
"UTP"	0.164	0.687	0.85	0.361	0.084	0.92	0.092	0.763	0.491	0.615	0.361	0.698	0.358	0.701
"CDP-choline"	0.017	0.897	0.006	0.94	0.107	0.899	0.142	0.708	0.257	0.775	0.437	0.648	0.046	0.955
"UDP-D-glucose"	0.676	0.415	0.932	0.339	0.945	0.395	0.494	0.485	0.875	0.423	0.139	0.871	0.047	0.954
"UDP-D-glucuronate"	1.006	0.32	0.426	0.517	0.541	0.585	0.575	0.452	3.043	0.056	0.629	0.537	2.082	0.135
"ADP-D-glucose"	0	1	0.126	0.724	0.276	0.76	0.105	0.748	0.951	0.393	1.393	0.258	1.965	0.15
"UDP-N-acetyl-glucosamine"	1.101	0.299	2.255	0.139	2.686	0.078	0.282	0.597	0.953	0.392	0.083	0.921	0.143	0.867
"Glutathione-disulfide"	2.313	0.134	0.329	0.569	0.016	0.985	0.061	0.806	0.148	0.863	0.516	0.6	0.757	0.474
"FAD"	0.507	0.48	5.296	0.025	1.921	0.157	0.002	0.963	0.059	0.943	0.412	0.665	0.095	0.91
